Ano,Autor(es),Categoria,Título do trabalho,Breve descrição da referência,Pontos de aderência com o TCC,URL
2022,Silva et al.,Chatbot para Gestantes,Chatbot inteligente para interação automática com gestantes,Propõe chatbot voltado ao suporte de gestantes com respostas automatizadas.,Tema diretamente relacionado ao projeto de chatbot para gravidez.,https://periodicos.ufersa.edu.br/index.php/rsemic/article/view/14542
2021,Oliveira et al.,Saúde Materno-Infantil,Desenvolvimento e avaliação do protótipo da aplicação GISSA Chatbot Mamãe-Bebê,Aplicação voltada à promoção da saúde infantil e apoio a mães.,Mostra aplicação real e validação com usuárias.,https://cienciaesaudecoletiva.com.br/artigos/desenvolvimento-e-avaliacao-do-prototipo-da-aplicacao-gissa-chatbot-mamaebebe-para-promocao-da-saude-infantil/17961
2023,Souza et al.,IA na Saúde Feminina,IaraMed: A Women’s Healthcare Chatbot for Portuguese Speakers,Chatbot em português para saúde da mulher usando IA moderna.,Uso de IA e foco em saúde feminina.,https://sol.sbc.org.br/index.php/sbcas/article/view/35558
2023,Santos et al.,Revisão de Literatura,Chatbots aplicados à saúde: uma revisão integrativa,Revisão sobre aplicações de chatbots em saúde.,Fundamentação teórica do uso de chatbot na saúde.,https://revistas.icesp.br/index.php/BACIMED/article/view/6436
2026,Kumar et al.,IA + Saúde Materna,Developing and evaluating a chatbot to support maternal health care,Estudo recente sobre chatbot para apoio materno com IA.,Altíssima aderência ao tema proposto.,https://arxiv.org/abs/2603.13168
2023,Chen et al.,Uso Real por Gestantes,How effective was the interaction between pregnant women and a chatbot during COVID-19?,Analisa interação entre gestantes e chatbot em cenário real.,Prova aceitação prática da tecnologia.,https://pubmed.ncbi.nlm.nih.gov/36968663/
2020,WHO,Saúde Digital,WHO guideline: recommendations on digital interventions for health system strengthening,Diretrizes da OMS sobre uso de tecnologias digitais na saúde.,Embasa uso de soluções digitais para gestantes.,https://www.who.int/publications/i/item/9789241550505
2021,IBM Research,NLP em Saúde,Conversational AI in Healthcare,Uso de IA conversacional em saúde para suporte ao paciente.,Base técnica para chatbot inteligente.,https://research.ibm.com/publications
2022,Google Health,IA Médica,Artificial Intelligence for maternal care,Uso de IA em suporte à saúde materna.,Justifica tendência tecnológica do projeto.,https://health.google/
2023,OpenAI,Large Language Models,GPT applications in healthcare support,Aplicações de LLMs em suporte e atendimento digital.,Pode embasar uso de API de IA no TCC.,https://openai.com
2025,Amil et al.,Chatbots Perinatais,Interactive Conversational Agents for Perinatal Health: A Mixed Methods Systematic Review,Revisão sistemática sobre chatbots para gravidez e pós-parto.,Forte embasamento científico sobre IA conversacional em maternidade.,https://www.mdpi.com/2227-9032/13/4/363
2024,Faujiah et al.,IA para Gestantes,AI-powered WhatsApp chatbots for maternal and child health,Avalia chatbot com IA via WhatsApp para gestantes.,Demonstra aplicação prática de IA no suporte gestacional.,https://journal2.uad.ac.id/index.php/cp/article/view/13858
2022,Silva et al.,Usabilidade em Gestação,Evaluating the use of chatbot during pregnancy: A usability study,Estudo sobre uso e validação de chatbot para gestantes.,Fundamenta experiência do usuário e aceitação da tecnologia.,https://www.sciencedirect.com/science/article/pii/S2772442522000296
2024,Ramos et al.,Saúde Gestacional Digital,Potencialidades do chatbot como suporte virtual para a saúde durante a jornada gestacional,Discute chatbots como apoio durante o pré-natal.,Muito alinhado ao objetivo do projeto.,https://www.periodicos.ufc.br/resdite/article/view/92509
2023,Oliveira et al.,Chatbot Inteligente,GISSA intelligent chatbot experience,Analisa interação entre gestantes e chatbot durante pandemia.,Mostra eficiência prática de chatbots maternos.,https://www.sciencedirect.com/science/article/pii/S1877050923004209
2024,García et al.,IA Materno-Infantil,Integrating AI and Telemedicine in Maternal-Infant Care,"Integra IA, NLP e telemedicina no cuidado materno.",Embasa IA personalizada em maternidade.,https://www.sciencedirect.com/science/article/pii/S1877050924017988
2025,Oxford Academic,GPT em Saúde Materna,Designing conversational intelligence: effect of large language models (GPT-driven) platforms for precision maternal and newborn health engagement,Revisão sobre GPT e LLMs aplicados à saúde materna.,Perfeito para justificar uso de GPT API no projeto.,https://academic.oup.com/oodh/article/doi/10.1093/oodh/oqag001/8416480
2023,Rosie Study,Saúde Materna Digital,"Rosie, a Health Education Question-and-Answer Chatbot for New Mothers",Chatbot para mães com respostas automatizadas.,Referência forte para chatbot educativo.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10818229/
2026,Jha et al.,Chatbot Materno com IA,Developing and evaluating a chatbot to support maternal health care,Chatbot com RAG e LLM para saúde materna.,MUITO importante porque usa retrieval + IA generativa.,https://arxiv.org/abs/2603.1
